Passenger_Id,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body
147,3,0,male,27,1,0,2659,14.4542,,C,C,
148,3,1,male,29,0,0,382651,7.75,,Q,13 15 B,
149,3,1,male,,2,0,367226,23.25,,Q,16,
150,3,0,male,27,0,0,315083,8.6625,,S,,
151,3,0,male,20,0,0,350050,7.8542,,S,,
152,3,0,male,31,3,0,345763,18,,S,,
153,2,1,female,32.5,0,0,27267,13,E101,S,12,
154,3,1,male,21,0,0,345501,7.775,,S,15,
155,1,1,female,24,0,0,11767,83.1583,C54,C,7,
156,3,0,male,30,0,0,SOTON/OQ 392090,8.05,,S,,
157,3,1,male,22,0,0,2658,7.225,,C,13 15,
158,3,0,female,,0,0,330935,8.1375,,Q,,
159,2,0,male,30,0,0,W/C 14208,10.5,,S,,
160,1,0,male,45.5,0,0,113043,28.5,C124,S,,166
161,1,0,male,31,0,0,PC 17590,50.4958,A24,S,,
162,2,0,male,26,0,0,244368,13,F2,S,,
163,1,0,male,61,1,3,PC 17608,262.375,B57 B59 B63 B66,C,,
164,3,1,male,30,0,0,345774,9.5,,S,11,
165,3,1,female,45,1,0,350026,14.1083,,S,11,
166,1,1,female,22,1,0,113776,66.6,C2,S,8,
167,3,0,male,29,0,0,STON/O 2. 3101268,7.925,,S,,
168,3,0,female,48,1,3,W./C. 6608,34.375,,S,,
169,2,0,male,32,0,0,C.A. 33111,10.5,,S,,
170,1,1,female,36,0,0,PC 17760,135.6333,C32,C,8,
171,3,1,female,,0,0,330932,7.7875,,Q,13,
172,2,0,male,25,1,2,SC/Paris 2123,41.5792,,C,,
173,3,0,male,,0,0,SOTON/OQ 392082,8.05,,S,,
174,1,1,male,45,0,0,111428,26.55,,S,9,
175,3,0,female,20,1,0,4136,9.825,,S,,
176,3,0,male,27,0,0,2670,7.225,,C,,
177,3,1,female,,0,0,334915,7.7208,,Q,13,
178,1,0,male,62,0,0,113807,26.55,,S,,
179,1,0,female,36,0,0,PC 17531,31.6792,A29,C,,
180,3,0,female,6,4,2,347082,31.275,,S,,
181,1,1,female,24,0,0,PC 17477,69.3,B35,C,9,
182,2,0,male,30,0,0,28228,13,,S,,
183,3,0,female,30,0,0,315084,8.6625,,S,,
184,3,0,male,24,1,0,376566,16.1,,S,,
185,2,0,male,35,0,0,239865,26,,S,,322
186,1,0,female,63,1,0,PC 17483,221.7792,C55 C57,S,,
187,3,1,female,30,0,0,364516,12.475,,S,13,
188,1,0,male,,0,0,112058,0,B102,S,,
189,2,0,male,41,0,0,237734,15.0458,,C,,
190,2,0,male,42,1,0,243847,27,,S,,
191,2,0,male,24,0,0,233866,13,,S,,155
192,1,1,female,16,0,1,111361,57.9792,B18,C,4,
193,2,0,male,61,0,0,235509,12.35,,Q,,
194,3,0,male,25,1,0,347076,7.775,,S,,
195,3,0,male,19,0,0,349228,10.1708,,S,,
196,2,0,male,21,2,0,S.O.C. 14879,73.5,,S,,
197,3,1,male,32,0,0,350417,7.8542,,S,15,
198,3,1,female,33,3,0,3101278,15.85,,S,,
199,3,0,female,,3,1,4133,25.4667,,S,,
200,3,0,male,,0,0,349235,7.8958,,S,,
201,1,1,female,35,1,0,19943,90,C93,S,D,
202,1,0,male,50,1,1,113503,211.5,C80,C,,
203,3,0,male,36,0,0,A/5 21175,7.25,,S,,
204,1,0,male,42,0,0,17475,26.55,,S,,
205,3,0,female,,1,0,2660,14.4542,,C,,
206,3,0,male,19,0,0,349205,7.8958,,S,,
207,3,0,female,30,1,1,345773,24.15,,S,,
208,2,1,female,3,1,2,SC/Paris 2123,41.5792,,C,14,
209,3,1,female,21,0,0,343120,7.65,,S,C,
210,1,1,male,35,0,0,PC 17475,26.2875,E24,S,5,
211,1,1,male,42,1,0,11753,52.5542,D19,S,5,
212,1,1,male,4,0,2,33638,81.8583,A34,S,5,
213,3,0,female,,0,0,364859,7.75,,Q,,
214,3,0,male,,0,0,7935,7.75,,Q,,
215,3,0,male,,0,0,383121,7.75,F38,Q,,
216,3,1,male,,0,0,368783,7.75,,Q,,
217,3,1,female,,0,0,330919,7.8292,,Q,13,
218,2,1,female,29,1,0,26707,26,,S,10,
219,3,1,female,27,0,1,392096,12.475,E121,S,14,
220,1,1,male,30,1,0,13236,57.75,C78,C,11,
221,3,1,female,22,1,1,3101298,12.2875,,S,15,
222,3,1,female,24,0,0,382653,7.75,,Q,15,
223,3,0,male,,0,0,374910,8.05,,S,,
224,3,1,female,4,0,1,349256,13.4167,,C,15,
225,3,1,female,4,0,2,315153,22.025,,S,2,
226,3,0,male,18,0,0,347090,7.75,,S,,
227,3,0,female,3,1,1,SOTON/O.Q. 3101315,13.775,,S,,
228,3,0,female,30,1,0,349910,15.55,,S,A,
229,3,0,female,29,0,0,3101297,7.925,,S,,
230,3,0,female,21,2,2,W./C. 6608,34.375,,S,,
231,2,1,female,25,0,1,230433,26,,S,12,
232,3,1,male,,0,0,3470,7.8875,,S,C,
233,3,0,male,51,0,0,21440,8.05,,S,,
234,2,0,male,30,1,1,250651,26,,S,,
235,3,0,male,24,0,0,349911,7.775,,S,,
236,2,1,male,34,0,0,248698,13,D56,S,13,
237,3,0,male,,0,0,3410,8.7125,,S,,
238,2,0,male,30,0,0,248744,13,,S,,
239,1,0,male,,0,0,113056,26,A19,S,,
240,3,0,male,,0,0,2629,7.2292,,C,,
241,3,1,female,24,0,3,2666,19.2583,,C,C,
242,3,0,male,22,0,0,349206,7.8958,,S,,
243,2,0,male,31,0,0,C.A. 18723,10.5,,S,,165
244,3,0,female,,1,0,2665,14.4542,,C,,
245,2,1,female,,0,0,248727,33,,S,11,
246,1,0,male,23,0,0,12749,93.5,B24,S,,
247,3,0,male,38.5,0,0,SOTON/O.Q. 3101262,7.25,,S,,32
248,3,0,male,36,0,0,LINE,0,,S,,
249,3,0,male,,0,0,2684,7.225,,C,,
250,3,0,male,36,0,0,349247,7.8958,,S,,
251,1,0,female,25,1,2,113781,151.55,C22 C26,S,,
252,2,0,female,38,0,0,237671,13,,S,,
253,3,0,male,21,1,0,3101266,6.4958,,S,,
254,2,1,female,24,1,2,220845,65,,S,9,
255,3,0,female,18,0,1,2691,14.4542,,C,,
256,1,1,female,45,0,0,PC 17608,262.375,,C,4,
257,3,0,male,,0,0,A/5 2817,8.05,,S,,
258,2,1,female,29,0,0,C.A. 29395,10.5,F33,S,11,
259,3,0,male,16,2,0,345764,18,,S,,
260,2,0,male,25,0,0,C.A. 29178,13,,S,,
261,1,0,male,27,1,0,13508,136.7792,C89,C,,
262,1,1,female,,1,0,PC 17611,133.65,,S,5,
263,3,0,male,,0,0,2622,7.2292,,C,,
264,2,0,male,43,1,1,F.C.C. 13529,26.25,,S,,
265,2,0,male,21,0,0,S.O.C. 14879,73.5,,S,,
266,3,1,female,0.1667,1,2,C.A. 2315,20.575,,S,10,
267,3,0,male,11.5,1,1,A/5. 851,14.5,,S,,1
268,1,1,male,80,0,0,27042,30,A23,S,B,
269,2,1,female,50,0,0,F.C.C. 13531,10.5,,S,9,
270,1,0,male,47,1,0,PC 17757,227.525,C62 C64,C,,124
271,3,0,male,20,0,0,345769,9.5,,S,,
272,3,0,male,33,0,0,345780,9.5,,S,,
273,2,0,male,51,0,0,S.O.P. 1166,12.525,,S,,174
274,2,1,female,36,1,0,226875,26,,S,11,
275,2,0,female,60,1,0,24065,26,,S,,
276,1,0,male,39,0,0,PC 17580,29.7,A18,C,,133
277,1,0,male,61,0,0,36963,32.3208,D50,S,,46
278,1,1,male,49,1,0,17453,89.1042,C92,C,5,
279,3,1,male,18,0,0,A/5 3540,8.05,,S,12,
280,3,0,male,4,4,2,347082,31.275,,S,,
281,3,0,male,22,0,0,350060,7.5208,,S,,
282,1,1,female,24,3,2,19950,263,C23 C25 C27,S,10,
283,2,0,male,36,0,0,229236,13,,S,,236
284,3,1,female,,0,0,335432,7.7333,,Q,13,
285,2,0,male,39,0,0,248723,13,,S,,
286,1,0,male,,0,0,112052,0,,S,,
287,3,0,male,40,1,4,347088,27.9,,S,,
288,1,1,female,76,1,0,19877,78.85,C46,S,6,
289,3,0,male,,0,0,2664,7.225,,C,,
290,2,0,male,34,0,0,12233,13,,S,,
291,1,0,male,57,1,0,PC 17569,146.5208,B78,C,,
292,3,0,male,35,0,0,373450,8.05,,S,,
293,3,0,male,,0,0,2671,7.2292,,C,,
294,1,1,female,33,1,0,19928,90,C78,Q,14,
295,3,0,male,18,0,0,315091,8.6625,,S,,
296,3,0,male,24,0,0,315092,8.6625,,S,,
297,3,0,male,20,0,0,350416,7.8542,,S,,
298,1,0,male,,0,0,PC 17600,30.6958,,C,14,
299,3,1,male,,1,1,2661,15.2458,,C,C,
300,3,1,male,44,0,0,STON/O 2. 3101269,7.925,,S,15,
301,3,0,male,,0,0,376563,8.05,,S,,
302,3,0,female,,0,0,382649,7.75,,Q,,
303,3,0,male,17,0,0,349232,7.8958,,S,,
304,1,0,male,39,1,0,PC 17599,71.2833,C85,C,,
305,3,0,male,28,0,0,392095,7.25,,S,,
306,3,1,female,27,0,2,347742,11.1333,,S,15,
307,1,1,female,39,1,1,PC 17756,83.1583,E49,C,14,
308,3,0,male,70.5,0,0,370369,7.75,,Q,,171
309,1,0,male,30,0,0,113801,45.5,,S,,
310,3,0,male,36,1,1,345773,24.15,,S,,
311,1,1,male,38,1,0,19943,90,C93,S,D,
312,2,0,male,21,0,0,29107,11.5,,S,,
313,2,0,male,36,0,0,SC/Paris 2163,12.875,D,C,,
314,3,0,male,21,0,0,A./5. 2152,8.05,,S,,
315,2,0,male,47,0,0,C.A. 30769,10.5,,S,,
316,3,0,male,38,0,0,349249,7.8958,,S,,
317,2,1,male,30,0,0,C.A. 34644,12.7375,,C,14,
318,1,0,male,47,0,0,113796,42.4,,S,,
319,2,0,female,30,0,0,237249,13,,S,,
320,3,0,male,21,0,0,2692,7.225,,C,,
321,2,0,male,44,1,0,26707,26,,S,,
322,3,0,male,,1,0,2660,14.4542,,C,,
323,3,1,female,,0,0,14313,7.75,,Q,D,
324,3,0,male,51,0,0,347064,7.75,,S,,
325,1,0,male,71,0,0,PC 17754,34.6542,A5,C,,
326,1,1,female,38,1,0,PC 17599,71.2833,C85,C,4,
327,2,0,male,44,0,0,248746,13,,S,,35
328,3,0,male,20,0,0,347466,7.8542,,S,,
329,1,1,female,23,1,0,21228,82.2667,B45,S,7,
330,3,0,male,29,1,0,3460,7.0458,,S,,
331,3,1,female,16,1,1,2625,8.5167,,C,14,
332,3,1,female,,1,1,2668,22.3583,F E69,C,D,
333,2,1,female,48,1,2,220845,65,,S,9,
334,3,1,male,27,0,0,315098,8.6625,,S,15,
335,3,1,male,39,0,0,STON/O 2. 3101289,7.925,,S,9,
336,2,0,male,57,0,0,244346,13,,S,,
337,2,1,female,18,0,2,250652,13,,S,16,
338,3,0,male,,0,0,370377,7.75,,Q,,
339,3,1,male,,0,0,2677,7.2292,,C,15,
340,2,0,male,42,0,0,211535,13,,S,,
341,1,0,male,39,0,0,112050,0,A36,S,,
342,3,1,male,6,0,1,392096,12.475,E121,S,14,
343,3,0,male,,0,0,S.O./P.P. 251,7.55,,S,,
344,1,1,female,24,0,0,PC 17482,49.5042,C90,C,6,
345,3,0,male,19,0,0,323951,8.05,,S,,
346,3,0,male,19,0,0,349231,7.8958,,S,,
347,3,0,male,,0,0,SOTON/O.Q. 3101305,7.05,,S,,
348,1,1,female,23,1,0,35273,113.275,D36,C,6,
349,3,0,male,45.5,0,0,2628,7.225,,C,,312
350,2,0,male,30,0,0,250646,13,,S,,305
351,1,1,female,49,1,0,PC 17572,76.7292,D33,C,3,
352,1,0,male,58,0,0,11771,29.7,B37,C,,258
353,3,0,male,19,0,0,358585,14.5,,S,,
354,2,1,female,20,2,1,29105,23,,S,4,
355,1,1,male,35,0,0,PC 17755,512.3292,B101,C,3,
356,3,0,male,20,0,0,SOTON/O.Q. 3101307,7.05,,S,,
357,2,0,male,40,0,0,239059,16,,S,,
358,1,1,female,33,0,0,110152,86.5,B77,S,8,
359,2,1,female,30,0,0,234818,12.35,,Q,13,
360,3,0,male,41,0,0,SOTON/O2 3101272,7.125,,S,,
361,3,1,female,19,1,0,350046,7.8542,,S,16,
362,1,1,male,,0,0,PC 17607,39.6,,S,A,
363,3,0,male,28,0,0,345783,9.5,,S,,
364,2,0,male,24,2,0,C.A. 31029,31.5,,S,,
365,2,0,male,29,0,0,W./C. 14263,10.5,,S,,
366,3,0,female,18,1,0,349237,17.8,,S,,
367,3,1,female,,2,0,367226,23.25,,Q,16,
368,3,0,male,4,3,2,347088,27.9,,S,,
369,3,0,female,39,0,5,382652,29.125,,Q,,327
370,1,1,female,29,0,0,24160,211.3375,B5,S,2,
371,3,0,male,,0,0,3411,8.7125,,C,,
372,3,0,male,16,0,0,A/4. 20589,8.05,,S,,
373,1,1,male,49,0,0,112058,0,B52 B54 B56,S,C,
374,2,0,male,38,1,0,28664,21,,S,,
375,3,0,male,,0,0,349255,7.8958,,C,,
376,3,0,male,55.5,0,0,A.5. 11206,8.05,,S,,201
377,1,1,female,26,1,0,13508,136.7792,C89,C,4,
378,2,0,male,18,0,0,S.O.C. 14879,73.5,,S,,
379,3,0,male,38,0,0,SOTON/O.Q. 3101306,7.05,,S,,
380,2,1,female,30,3,0,31027,21,,S,,
381,1,0,male,42,0,0,110489,26.55,D22,S,,
382,3,0,male,,1,9,CA. 2343,69.55,,S,,
383,3,0,female,9,1,1,2678,15.2458,,C,,
384,1,0,male,37,0,1,PC 17596,29.7,C118,C,,
385,3,0,male,,0,0,2676,7.225,,C,,
386,1,1,male,36,0,1,PC 17755,512.3292,B51 B53 B55,C,3,
387,3,0,male,,0,0,349227,7.8958,,S,,
388,3,0,female,14.5,1,0,2665,14.4542,,C,,328
389,1,1,female,48,0,0,17466,25.9292,D17,S,8,
390,3,0,male,24,0,0,350035,7.7958,,S,,
391,3,0,male,16,1,3,W./C. 6608,34.375,,S,,
392,1,1,male,60,1,1,13567,79.2,B41,C,5,
393,1,1,female,28,3,2,19950,263,C23 C25 C27,S,10,
394,3,0,male,,1,2,W./C. 6607,23.45,,S,,
395,3,1,male,,0,0,1601,56.4958,,S,13,
396,2,0,male,29,1,0,2003,26,,S,,
397,1,1,male,36,0,0,PC 17473,26.2875,E25,S,7,
398,3,0,male,15,1,1,2695,7.2292,,C,,
399,2,0,male,70,0,0,C.A. 24580,10.5,,S,,
400,3,0,male,7,4,1,382652,29.125,,Q,,
401,3,0,male,21,0,0,350410,7.8542,,S,,
402,3,0,male,16,0,0,7534,9.2167,,S,,
403,1,0,male,28,1,0,PC 17604,82.1708,,C,,
404,2,1,male,42,0,0,237798,13,,S,10,
405,3,0,male,24,0,0,349233,7.8958,,S,,
406,3,0,male,11,0,0,2699,18.7875,,C,,
407,3,1,female,,0,0,370375,7.75,,Q,16,
408,3,0,male,25,0,0,SOTON/OQ 392076,7.05,,S,,
409,3,0,male,17,0,0,315086,8.6625,,S,,
410,3,0,male,,0,0,349253,7.8958,,C,,
411,3,0,male,,0,0,A/S 2816,8.05,,S,,
412,3,0,male,,0,0,371110,24.15,,Q,,
413,3,0,female,18,0,0,347087,7.775,,S,,
414,1,1,female,36,0,0,PC 17608,262.375,B61,C,4,
415,1,1,female,35,1,0,113803,53.1,C123,S,D,
416,1,1,female,30,0,0,113798,31,,C,4,
417,3,0,female,,0,0,65305,8.1125,,S,,
418,2,1,male,1,2,1,230136,39,F4,S,11,
419,3,0,male,33,0,0,349239,8.6625,,C,,
420,3,0,male,48,0,0,350047,7.8542,,S,,
421,3,1,female,30,0,0,382650,6.95,,Q,15,
422,3,1,male,32,0,0,STON/O 2. 3101286,7.925,,S,15,
423,3,0,male,29,0,0,7545,9.4833,,S,,
424,2,0,male,36.5,0,2,230080,26,F2,S,,15
425,1,1,female,18,1,0,13695,60,C31,S,6,
426,3,0,male,38,0,0,315089,8.6625,,S,,
427,2,0,male,31,1,1,C.A. 31921,26.25,,S,,
428,1,0,male,18,1,0,PC 17758,108.9,C65,C,,
429,2,0,male,29,1,0,11668,21,,S,,
430,3,0,male,50,0,0,A/5 3594,8.05,,S,,
431,3,1,male,25,0,0,350033,7.7958,,S,13 15,
432,3,0,male,65,0,0,336439,7.75,,Q,,
433,3,0,male,23.5,0,0,2693,7.2292,,C,,188
434,1,0,male,47,0,0,111320,38.5,E63,S,,275
435,1,0,male,36,1,0,19877,78.85,C46,S,,172
436,3,0,male,24.5,0,0,342826,8.05,,S,,284
437,1,0,male,65,0,0,13509,26.55,E38,S,,249
438,1,1,male,27,1,0,113806,53.1,E8,S,5,
439,3,1,male,29,3,1,315153,22.025,,S,2,
440,3,0,female,30,0,0,330972,7.6292,,Q,,
441,3,0,female,25,1,0,STON/O2. 3101271,7.925,,S,,
442,2,0,female,29,1,0,SC/AH 29037,26,,S,,
443,3,0,male,20,0,0,7534,9.8458,,S,,
444,2,1,female,48,0,2,C.A. 33112,36.75,,S,14,
445,1,1,female,,0,0,PC 17598,31.6833,,S,7,
446,3,0,male,40,1,6,CA 2144,46.9,,S,,
447,3,0,male,,0,0,A/5 1478,8.05,,S,,
448,3,1,male,14,0,0,7538,9.225,,S,13,
449,2,1,female,12,0,0,C.A. 33595,15.75,,S,9,
450,3,0,male,20,0,0,6563,9.225,,S,,89
451,2,1,female,40,0,0,C.A. 33595,15.75,,S,9,
452,3,1,female,,0,0,2649,7.225,,C,C,
453,3,0,male,,0,0,SOTON/OQ 392086,8.05,,S,,
454,1,1,female,29,0,0,PC 17483,221.7792,C97,S,8,
455,3,1,female,22,0,0,347085,7.775,,S,C,
456,3,0,female,17,0,0,AQ/3. 30631,7.7333,,Q,,
457,2,1,female,33,0,2,26360,26,,S,11,
458,1,0,male,,0,0,112051,0,,S,,
459,1,1,female,,1,0,17453,89.1042,C92,C,5,
460,3,0,male,,0,0,312993,7.775,,S,,
461,3,0,male,24,0,0,7266,9.325,,S,,
462,3,0,male,,8,2,CA. 2343,69.55,,S,,
463,1,0,male,40,0,0,PC 17601,27.7208,,C,,
464,3,1,female,17,0,1,371362,16.1,,S,12,
465,3,0,male,,0,0,A./5. 3235,8.05,,S,,
466,3,0,female,2,0,1,347054,10.4625,G6,S,,
467,3,0,male,26,0,0,349248,7.8958,,S,,
468,3,0,male,30,0,0,2685,7.2292,,C,,
469,3,0,male,32.5,0,0,345775,9.5,,S,,298
470,1,0,male,22,0,0,PC 17760,135.6333,,C,,232
471,1,0,male,47,0,0,5727,25.5875,E58,S,,
472,1,1,male,32,0,0,13214,30.5,B50,C,3,
473,3,1,female,,0,2,2668,22.3583,,C,D,
474,3,1,male,32,0,0,1601,56.4958,,S,C,
475,3,0,female,38,4,2,347091,7.775,,S,,
476,1,0,male,38,0,0,19972,0,,S,,
477,3,0,male,40,1,5,347077,31.3875,,S,,142
478,3,1,male,32,0,0,1601,56.4958,,S,C,
479,2,0,male,48,0,0,234360,13,,S,,271
480,1,0,male,28,0,0,113059,47.1,,S,,
481,3,0,male,19,0,0,S.P. 3464,8.1583,,S,,
482,2,0,male,49,1,2,220845,65,,S,,
483,3,0,male,,0,0,370374,7.75,,Q,,
484,1,1,female,38,0,0,PC 17757,227.525,C45,C,4,
485,2,0,male,32,0,0,244360,13,,S,,
486,1,1,female,59,2,0,11769,51.4792,C101,S,D,
487,2,0,male,,0,0,SC/PARIS 2159,12.875,,S,,
488,2,0,male,,0,0,239855,0,,S,,
489,1,1,male,,0,0,16988,30,D45,S,3,
